name	phase	status	tier	method	planned_tokens	planned_tpp	launch_ready	dependency	selection_notes	config	reporting_note
y400_mai_124m_muon_0p5tpp_lr16e4	dense_baseline_lr_screen_0p5tpp	READY	124m	baseline	62186880	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_muon_0p5tpp_lr16e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_124m_muon_0p5tpp_lr20e4	dense_baseline_lr_screen_0p5tpp	READY	124m	baseline	62186880	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_muon_0p5tpp_lr20e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_124m_muon_0p5tpp_lr24e4	dense_baseline_lr_screen_0p5tpp	READY	124m	baseline	62186880	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_muon_0p5tpp_lr24e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_350m_muon_0p5tpp_lr16e4	dense_baseline_lr_screen_0p5tpp	READY	350m	baseline	177299968	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_350m_muon_0p5tpp_lr16e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_350m_muon_0p5tpp_lr20e4	dense_baseline_lr_screen_0p5tpp	READY	350m	baseline	177299968	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_350m_muon_0p5tpp_lr20e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_350m_muon_0p5tpp_lr24e4	dense_baseline_lr_screen_0p5tpp	READY	350m	baseline	177299968	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_350m_muon_0p5tpp_lr24e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_690m_muon_0p5tpp_lr16e4	dense_baseline_lr_screen_0p5tpp	READY	690m	baseline	347464320	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_690m_muon_0p5tpp_lr16e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_690m_muon_0p5tpp_lr20e4	dense_baseline_lr_screen_0p5tpp	READY	690m	baseline	347464320	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_690m_muon_0p5tpp_lr20e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_690m_muon_0p5tpp_lr24e4	dense_baseline_lr_screen_0p5tpp	READY	690m	baseline	347464320	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_690m_muon_0p5tpp_lr24e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_985m_muon_0p5tpp_lr16e4	dense_baseline_lr_screen_0p5tpp	READY	985m	baseline	492454656	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_985m_muon_0p5tpp_lr16e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_985m_muon_0p5tpp_lr20e4	dense_baseline_lr_screen_0p5tpp	READY	985m	baseline	492454656	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_985m_muon_0p5tpp_lr20e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_985m_muon_0p5tpp_lr24e4	dense_baseline_lr_screen_0p5tpp	READY	985m	baseline	492454656	0.500000	true	none; baseline-only fixed-window terminal-NLL screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_985m_muon_0p5tpp_lr24e4.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_124m_muon_0p5tpp_scale02	dense_baseline_fallback_scale_screen_0p5tpp	BLOCKED_ON_LR_SELECTION	124m	baseline	62186880	0.500000	false	selected stable 124m LR from the 0.5TPP baseline screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_muon_0p5tpp_scale02.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_124m_muon_0p5tpp_scale03	dense_baseline_fallback_scale_screen_0p5tpp	BLOCKED_ON_LR_SELECTION	124m	baseline	62186880	0.500000	false	selected stable 124m LR from the 0.5TPP baseline screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_124m_muon_0p5tpp_scale03.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
y400_mai_350m_muon_0p5tpp_scale02	dense_baseline_fallback_scale_screen_0p5tpp	BLOCKED_ON_LR_SELECTION	350m	baseline	177299968	0.500000	false	selected stable 350m LR from the 0.5TPP baseline screen	Select by terminal held-out NLL on fixed evaluation windows only; hard-reject numerical instability. Tie or preregistered-practical-equivalence results are all promoted to 5TPP confirmation rather than silently selecting one.	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_mai_350m_muon_0p5tpp_scale02.json	EGTime is primary. EG_FLOPs must include BlockFHT decode/materialization, cache prepare/flush, and generated-weight gradient mapping, or be labelled nominal.
